Date,Open,High,Low,Close,Adj Close,Volume
2016-08-17,58.79999923706055,61.5,57.900001525878906,60.900001525878906,60.900001525878906,1030
2016-08-18,60.900001525878906,60.900001525878906,60.900001525878906,60.900001525878906,60.900001525878906,0
2016-08-19,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,7
2016-08-22,60.29999923706055,61.5,60.0,60.599998474121094,60.599998474121094,307
2016-08-23,60.599998474121094,60.599998474121094,60.599998474121094,60.599998474121094,60.599998474121094,0
2016-08-24,60.0,60.29999923706055,60.0,60.29999923706055,60.29999923706055,23
2016-08-25,60.0,60.0,57.900001525878906,60.0,60.0,127
2016-08-26,60.0,60.0,59.70000076293945,60.0,60.0,77
2016-08-29,60.900001525878906,60.900001525878906,60.0,60.0,60.0,237
2016-08-30,60.599998474121094,60.599998474121094,60.0,60.0,60.0,390
2016-08-31,59.400001525878906,60.0,59.400001525878906,60.0,60.0,17
2016-09-01,60.0,60.0,60.0,60.0,60.0,0
2016-09-02,60.0,60.599998474121094,60.0,60.599998474121094,60.599998474121094,167
2016-09-06,60.0,60.599998474121094,56.099998474121094,60.29999923706055,60.29999923706055,513
2016-09-07,60.29999923706055,60.29999923706055,57.0,60.29999923706055,60.29999923706055,27
2016-09-08,57.29999923706055,57.29999923706055,57.29999923706055,57.29999923706055,57.29999923706055,3
2016-09-09,57.29999923706055,57.29999923706055,57.29999923706055,57.29999923706055,57.29999923706055,3
2016-09-12,59.400001525878906,60.0,59.400001525878906,60.0,60.0,213
2016-09-13,60.0,60.0,60.0,60.0,60.0,83
2016-09-14,60.0,60.0,60.0,60.0,60.0,0
2016-09-15,60.0,60.0,60.0,60.0,60.0,0
2016-09-16,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,3
2016-09-19,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,0
2016-09-20,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,0
2016-09-21,60.0,60.599998474121094,60.0,60.599998474121094,60.599998474121094,217
2016-09-22,60.599998474121094,60.599998474121094,60.599998474121094,60.599998474121094,60.599998474121094,3
2016-09-23,60.150001525878906,60.599998474121094,60.150001525878906,60.599998474121094,60.599998474121094,50
2016-09-26,57.0,58.79999923706055,57.0,58.79999923706055,58.79999923706055,367
2016-09-27,59.70000076293945,61.20000076293945,59.70000076293945,60.0,60.0,123
2016-09-28,60.0,60.0,60.0,60.0,60.0,167
2016-09-29,61.20000076293945,61.20000076293945,59.70000076293945,60.0,60.0,170
2016-09-30,55.79999923706055,61.5,55.79999923706055,61.5,61.5,170
2016-10-03,60.0,60.0,55.79999923706055,55.79999923706055,55.79999923706055,33
2016-10-04,60.0,60.0,57.0,57.0,57.0,140
2016-10-05,61.5,61.5,60.0,61.16999816894531,61.16999816894531,317
2016-10-06,60.0,61.5,58.5,61.5,61.5,40
2016-10-07,61.5,61.5,61.5,61.5,61.5,0
2016-10-10,61.5,61.5,55.79999923706055,60.0,60.0,520
2016-10-11,60.0,60.29999923706055,60.0,60.0,60.0,430
2016-10-12,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,60.29999923706055,7
2016-10-13,60.29999923706055,60.29999923706055,57.0,57.0,57.0,410
2016-10-14,58.5,60.29999923706055,57.0,60.29999923706055,60.29999923706055,43
2016-10-17,60.0,60.0,56.70000076293945,56.70000076293945,56.70000076293945,633
2016-10-18,56.70000076293945,61.5,56.70000076293945,58.5,58.5,217
2016-10-19,58.5,60.0,57.0,57.0,57.0,570
2016-10-20,57.0,57.0,52.79999923706055,57.0,57.0,493
2016-10-21,57.0,57.0,57.0,57.0,57.0,0
2016-10-24,55.5,55.5,54.0,54.0,54.0,527
2016-10-25,54.900001525878906,54.900001525878906,54.900001525878906,54.900001525878906,54.900001525878906,10
2016-10-26,54.900001525878906,54.900001525878906,54.900001525878906,54.900001525878906,54.900001525878906,3
2016-10-27,54.900001525878906,54.900001525878906,54.0,54.29999923706055,54.29999923706055,110
2016-10-28,53.70000076293945,60.0,53.70000076293945,60.0,60.0,540
2016-10-31,57.599998474121094,60.0,52.79999923706055,60.0,60.0,193
2016-11-01,57.27000045776367,57.27000045776367,57.0,57.0,57.0,7
2016-11-02,56.70000076293945,57.0,52.20000076293945,57.0,57.0,50
2016-11-03,57.0,57.0,57.0,57.0,57.0,0
2016-11-04,57.0,57.0,55.20000076293945,55.20000076293945,55.20000076293945,467
2016-11-07,55.20000076293945,60.150001525878906,55.20000076293945,55.5,55.5,5060
2016-11-08,54.599998474121094,60.0,54.599998474121094,60.0,60.0,127
2016-11-09,65.0,65.0,65.0,65.0,65.0,10
2016-11-10,60.0,80.0,60.0,65.0,65.0,3960
2016-11-11,66.0,70.0,62.400001525878906,70.0,70.0,210
2016-11-14,65.0,65.0,65.0,65.0,65.0,20
2016-11-15,69.80000305175781,75.0,65.0,70.0,70.0,1140
2016-11-16,70.0,70.0,67.5,67.5,67.5,240
2016-11-17,70.69999694824219,72.0,70.69999694824219,72.0,72.0,400
2016-11-18,73.0,73.0,71.19999694824219,71.19999694824219,71.19999694824219,40
2016-11-21,79.9000015258789,79.9000015258789,70.0,70.5,70.5,310
2016-11-22,71.5,71.5,60.0,61.7400016784668,61.7400016784668,2570
2016-11-23,62.29999923706055,64.0,62.29999923706055,62.400001525878906,62.400001525878906,190
2016-11-25,61.0,61.0,61.0,61.0,61.0,70
2016-11-28,65.0,65.0,60.5,60.5,60.5,610
2016-11-29,60.5,61.529998779296875,60.5,61.529998779296875,61.529998779296875,610
2016-11-30,65.0,66.4000015258789,61.0,65.19999694824219,65.19999694824219,9230
2016-12-01,66.0,66.0,63.099998474121094,65.0,65.0,1370
2016-12-02,64.0,64.0,64.0,64.0,64.0,50
2016-12-05,63.099998474121094,63.099998474121094,58.5,59.20000076293945,59.20000076293945,1670
2016-12-06,59.20000076293945,59.20000076293945,59.20000076293945,59.20000076293945,59.20000076293945,0
2016-12-07,58.970001220703125,59.47999954223633,58.970001220703125,59.47999954223633,59.47999954223633,80
2016-12-08,58.5,59.27000045776367,58.0,58.5,58.5,480
2016-12-09,58.099998474121094,59.040000915527344,58.0,58.0,58.0,800
2016-12-12,49.20000076293945,52.29999923706055,49.20000076293945,52.29999923706055,52.29999923706055,70
2016-12-13,52.0,55.0,52.0,53.5,53.5,780
2016-12-14,57.77000045776367,58.0,56.0,57.47999954223633,57.47999954223633,390
2016-12-15,56.5,56.5,45.0,52.0,52.0,4830
2016-12-16,60.900001525878906,63.900001525878906,58.04999923706055,59.900001525878906,59.900001525878906,5990
2016-12-19,62.400001525878906,65.9000015258789,60.5,62.5,62.5,3790
2016-12-20,63.0,63.400001525878906,58.599998474121094,60.0099983215332,60.0099983215332,2050
2016-12-21,59.20000076293945,61.290000915527344,59.20000076293945,61.099998474121094,61.099998474121094,700
2016-12-22,60.0,61.5,59.279998779296875,61.5,61.5,870
2016-12-23,61.04999923706055,61.04999923706055,58.0,58.0,58.0,2090
2016-12-27,59.0,59.0,57.79999923706055,57.79999923706055,57.79999923706055,1100
2016-12-28,58.0,66.0,53.0,54.099998474121094,54.099998474121094,16980
2016-12-29,59.5,59.5,55.099998474121094,55.400001525878906,55.400001525878906,140
2016-12-30,58.0,58.0,54.099998474121094,54.099998474121094,54.099998474121094,180
2017-01-03,55.65999984741211,57.900001525878906,55.08000183105469,55.08000183105469,55.08000183105469,250
2017-01-04,55.0,57.58000183105469,55.0,56.29999923706055,56.29999923706055,450
2017-01-05,55.5,56.61000061035156,54.099998474121094,56.279998779296875,56.279998779296875,630
2017-01-06,56.20000076293945,58.099998474121094,56.20000076293945,57.29999923706055,57.29999923706055,420
2017-01-09,58.02000045776367,58.02000045776367,48.0,51.20000076293945,51.20000076293945,4010
2017-01-10,51.900001525878906,52.0,51.5,51.900001525878906,51.900001525878906,140
2017-01-11,50.599998474121094,51.79999923706055,48.599998474121094,49.099998474121094,49.099998474121094,1210
2017-01-12,50.0,54.900001525878906,50.0,51.79999923706055,51.79999923706055,3740
2017-01-13,52.0,52.0,49.0,49.45000076293945,49.45000076293945,2070
2017-01-17,49.7400016784668,50.70000076293945,49.0,49.79999923706055,49.79999923706055,870
2017-01-18,50.0,51.0,49.0,50.0,50.0,1240
2017-01-19,51.0,56.099998474121094,50.099998474121094,50.5,50.5,6640
2017-01-20,50.099998474121094,52.31999969482422,50.099998474121094,51.099998474121094,51.099998474121094,440
2017-01-23,50.70000076293945,51.400001525878906,49.0,49.20000076293945,49.20000076293945,3020
2017-01-24,49.63999938964844,49.63999938964844,47.599998474121094,47.599998474121094,47.599998474121094,650
2017-01-25,46.900001525878906,46.900001525878906,43.5,43.900001525878906,43.900001525878906,1510
2017-01-26,44.459999084472656,44.459999084472656,38.5,38.5,38.5,2700
2017-01-27,42.0,44.0,40.400001525878906,43.5099983215332,43.5099983215332,1350
2017-01-30,45.29999923706055,49.25,45.29999923706055,49.0,49.0,1810
2017-01-31,49.0,49.0,47.41999816894531,48.290000915527344,48.290000915527344,300
2017-02-01,48.79999923706055,60.599998474121094,48.79999923706055,49.630001068115234,49.630001068115234,9770
2017-02-02,50.0,50.0,47.5,47.84000015258789,47.84000015258789,1560
2017-02-03,49.0,49.0,47.5,48.0,48.0,1070
2017-02-06,48.45000076293945,48.4900016784668,47.5,48.0,48.0,520
2017-02-07,47.5,47.70000076293945,46.25,47.5,47.5,2280
2017-02-08,46.599998474121094,50.0,46.599998474121094,48.20000076293945,48.20000076293945,1950
2017-02-09,48.099998474121094,54.900001525878906,48.099998474121094,51.0,51.0,8910
2017-02-10,51.0,53.0,50.33000183105469,50.599998474121094,50.599998474121094,720
2017-02-13,52.099998474121094,53.0,47.0,47.0,47.0,6440
2017-02-14,47.0,47.400001525878906,46.0,46.33000183105469,46.33000183105469,640
2017-02-15,46.29999923706055,46.5,45.0,45.599998474121094,45.599998474121094,2350
2017-02-16,46.5,46.5,44.779998779296875,45.09000015258789,45.09000015258789,2230
2017-02-17,45.0,47.349998474121094,45.0,46.0,46.0,340
2017-02-21,43.0,47.099998474121094,43.0,44.0,44.0,2120
